tEdges,0.0,1.0

# var,tbin,cfg,lo,hi
Mx2_ep,0,0,-0.23,0.29
Mx2_ep,0,1,-0.24,0.40
Mx2_ep,0,2,-0.21,0.31

Emiss,0,0,-0.29,0.47
Emiss,0,1,-0.23,0.73
Emiss,0,2,-0.37,0.79

PTmiss,0,0,0.00,0.10
PTmiss,0,1,0.00,0.22
PTmiss,0,2,0.00,0.14

Theta_gamma_gamma,0,0,0.00,1.49
Theta_gamma_gamma,0,1,0.00,2.43
Theta_gamma_gamma,0,2,0.00,1.93

DeltaPhi,0,0,0.00,3.78
DeltaPhi,0,1,0.00,10.63
DeltaPhi,0,2,0.00,9.35

Mx2_epg,0,0,-0.03,0.03
Mx2_epg,0,1,-0.04,0.04
Mx2_epg,0,2,-0.03,0.03

Mx2_eg,0,0,0.41,1.69
Mx2_eg,0,1,0.55,1.87
Mx2_eg,0,2,0.32,2.12
